booking_id;hotel;is_canceled;lead_time;arrival_date_week_number;booking_date;arrival_date;arrival_date_day_of_month;stays_in_weekend_nights;stays_in_week_nights;adults;children;babies;meal;country;market_segment;is_repeated_guest;previous_cancellations;assigned_room_type;booking_changes;deposit_type;agent;customer_type;required_car_parking_spaces;total_of_special_requests
40;NF Hotel;0;70;27;2018-04-23;2018-07-02;2;2;3;2;0;0;HB;Romania;Direct;0;0;E;0;No Deposit;250;No Contract (Single);0;1
41;NF Hotel;1;45;27;2018-05-18;2018-07-02;2;2;3;2;0;0;BB;Portugal;Online TA;0;0;G;0;No Deposit;241;No Contract (Single);0;0
42;NF Hotel;0;45;27;2018-05-18;2018-07-02;2;2;3;2;0;0;BB;Ireland;Offline TA/TO;0;0;D;0;No Deposit;8;Contract (Single);0;0
43;NF Hotel;0;16;27;2018-06-16;2018-07-02;2;2;3;2;0;0;BB;Spain;Direct;0;0;F;0;No Deposit;0;No Contract (Single);0;0
44;NF Hotel;0;70;27;2018-04-23;2018-07-02;2;2;3;2;0;0;HB;Romania;Direct;0;0;E;0;No Deposit;250;No Contract (Single);0;1
45;NF Hotel;0;107;27;2018-03-17;2018-07-02;2;2;5;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;2
46;NF Hotel;1;47;27;2018-05-16;2018-07-02;2;2;5;2;2;0;BB;Portugal;Online TA;0;0;G;0;No Deposit;240;No Contract (Single);0;0
47;NF Hotel;0;96;27;2018-03-28;2018-07-02;2;2;5;2;0;0;BB;Spain;Offline TA/TO;0;0;A;0;No Deposit;134;No Contract (Single);0;1
48;NF Hotel;0;113;27;2018-03-11;2018-07-02;2;2;5;2;0;0;BB;Norway;Offline TA/TO;0;0;E;0;No Deposit;156;No Contract (Group);0;2
49;NF Hotel;0;90;27;2018-04-03;2018-07-02;2;2;5;2;0;0;HB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;B;1;No Deposit;243;Contract (Single);0;0
50;NF Hotel;0;50;27;2018-05-13;2018-07-02;2;2;5;2;0;0;HB;Ireland;Online TA;0;0;F;1;No Deposit;241;No Contract (Single);0;1
51;NF Hotel;0;113;27;2018-03-11;2018-07-02;2;2;5;2;0;0;BB;Norway;Offline TA/TO;0;0;D;0;No Deposit;156;No Contract (Group);0;2
52;NF Hotel;0;93;27;2018-03-31;2018-07-02;2;3;8;2;0;0;BB;Ireland;Offline TA/TO;0;0;A;0;No Deposit;156;Contract (Single);0;0
53;NF Hotel;0;76;27;2018-04-17;2018-07-02;2;4;10;2;0;0;BB;Oman;Offline TA/TO;0;0;D;0;No Deposit;243;Contract (Single);0;0
54;NF Hotel;0;3;27;2018-06-29;2018-07-02;2;0;1;2;0;0;BB;Spain;Online TA;0;0;C;0;No Deposit;240;No Contract (Single);1;0
55;NF Hotel;0;1;27;2018-07-01;2018-07-02;2;0;1;2;0;0;BB;Unknown;Online TA;0;0;H;0;No Deposit;240;No Contract (Single);1;0
56;NF Hotel;0;1;27;2018-07-01;2018-07-02;2;0;1;2;2;0;BB;Spain;Direct;0;0;C;0;No Deposit;0;No Contract (Single);1;2
57;NF Hotel;0;0;27;2018-07-02;2018-07-02;2;0;1;2;0;0;BB;Portugal;Direct;0;0;H;0;No Deposit;0;No Contract (Single);0;0
58;NF Hotel;0;0;27;2018-07-02;2018-07-02;2;0;1;2;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;No Contract (Single);0;2
59;NF Hotel;0;0;27;2018-07-02;2018-07-02;2;0;1;2;0;0;BB;Portugal;Direct;0;0;G;0;No Deposit;0;No Contract (Single);0;0
60;NF Hotel;0;14;27;2018-06-18;2018-07-02;2;0;2;2;0;0;BB;United States of America (the);Online TA;0;0;C;0;No Deposit;242;No Contract (Single);0;1
61;NF Hotel;0;10;27;2018-06-22;2018-07-02;2;0;2;2;0;0;BB;Portugal;Online TA;0;0;G;0;No Deposit;241;No Contract (Single);0;0
62;NF Hotel;0;5;27;2018-06-27;2018-07-02;2;0;2;2;0;0;BB;Ireland;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);1;2
63;NF Hotel;0;17;27;2018-06-15;2018-07-02;2;0;3;2;0;0;BB;Spain;Direct;0;0;F;0;No Deposit;250;No Contract (Single);0;1
64;NF Hotel;0;93;27;2018-03-31;2018-07-02;2;0;3;2;0;0;BB;Ireland;Offline TA/TO;0;0;C;0;No Deposit;115;Contract (Single);0;0
65;NF Hotel;1;3;27;2018-06-29;2018-07-02;2;0;3;2;0;0;HB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;2
66;NF Hotel;0;10;27;2018-06-23;2018-07-03;3;0;2;2;2;0;BB;United States of America (the);Online TA;0;0;H;0;No Deposit;240;No Contract (Single);1;0
67;NF Hotel;0;3;27;2018-06-30;2018-07-03;3;0;2;2;0;0;BB;Spain;Online TA;0;0;C;0;No Deposit;240;No Contract (Single);0;0
68;NF Hotel;0;51;27;2018-05-13;2018-07-03;3;0;2;2;0;0;BB;Poland;Online TA;0;0;D;0;No Deposit;242;No Contract (Single);0;0
69;NF Hotel;1;71;27;2018-04-23;2018-07-03;3;0;2;3;0;0;BB;Portugal;Offline TA/TO;0;0;A;0;No Deposit;242;No Contract (Single);0;2
70;NF Hotel;1;63;27;2018-05-01;2018-07-03;3;0;2;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;2
71;NF Hotel;1;62;27;2018-05-02;2018-07-03;3;0;2;2;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;No Contract (Single);0;1
72;NF Hotel;1;101;27;2018-03-24;2018-07-03;3;0;2;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;1
73;NF Hotel;0;2;27;2018-07-01;2018-07-03;3;0;2;2;0;0;HB;Portugal;Offline TA/TO;0;0;A;0;No Deposit;3;No Contract (Single);0;0
74;NF Hotel;0;15;27;2018-06-18;2018-07-03;3;0;2;2;0;0;BB;Spain;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;0
75;NF Hotel;1;51;27;2018-05-13;2018-07-03;3;0;2;3;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;242;No Contract (Single);0;0
76;NF Hotel;0;3;27;2018-06-30;2018-07-03;3;1;2;2;0;0;BB;Spain;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);1;0
77;NF Hotel;1;48;27;2018-05-16;2018-07-03;3;1;2;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;0
78;NF Hotel;0;2;27;2018-07-01;2018-07-03;3;2;2;1;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;0
79;NF Hotel;0;72;27;2018-04-22;2018-07-03;3;2;2;2;0;0;BB;Germany;Offline TA/TO;0;0;A;0;No Deposit;105;No Contract (Single);1;0
80;NF Hotel;0;81;27;2018-04-13;2018-07-03;3;2;6;3;0;0;BB;Portugal;Offline TA/TO;0;0;D;0;No Deposit;5;No Contract (Single);0;0
81;NF Hotel;0;99;27;2018-03-26;2018-07-03;3;2;7;2;0;0;BB;Unknown;Offline TA/TO;0;0;A;0;No Deposit;40;Contract (Single);0;0
82;NF Hotel;1;368;27;2017-06-30;2018-07-03;3;3;7;2;0;0;BB;Portugal;Offline TA/TO;0;0;A;0;No Deposit;40;Contract (Single);0;0
83;NF Hotel;0;364;27;2017-07-04;2018-07-03;3;3;7;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;A;0;No Deposit;40;Contract (Single);0;0
84;NF Hotel;1;81;27;2018-04-13;2018-07-03;3;3;7;2;0;0;HB;Portugal;Direct;0;0;A;2;No Deposit;250;No Contract (Single);0;1
85;NF Hotel;0;99;27;2018-03-26;2018-07-03;3;3;7;2;0;0;HB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;E;0;No Deposit;115;Contract (Single);0;0
86;NF Hotel;0;324;27;2017-08-13;2018-07-03;3;4;10;2;0;0;HB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;E;0;No Deposit;40;Contract (Single);0;0
87;NF Hotel;0;69;27;2018-04-25;2018-07-03;3;4;10;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Online TA;0;0;F;1;No Deposit;241;No Contract (Single);0;1
88;NF Hotel;1;79;27;2018-04-15;2018-07-03;3;6;15;2;1;0;BB;Portugal;Offline TA/TO;0;0;A;0;No Deposit;242;No Contract (Single);0;2
89;NF Hotel;0;12;27;2018-06-21;2018-07-03;3;0;1;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Online TA;0;0;C;0;No Deposit;240;No Contract (Single);0;0
90;NF Hotel;0;9;27;2018-06-24;2018-07-03;3;0;1;2;0;0;BB;Portugal;Online TA;0;0;C;0;No Deposit;240;No Contract (Single);1;2
91;NF Hotel;0;1;27;2018-07-02;2018-07-03;3;0;1;2;0;0;BB;Spain;Online TA;0;0;C;0;No Deposit;240;No Contract (Single);0;1
92;NF Hotel;0;21;27;2018-06-12;2018-07-03;3;0;1;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;0
93;NF Hotel;0;9;27;2018-06-24;2018-07-03;3;0;1;2;0;0;BB;United States of America (the);Online TA;0;0;C;0;No Deposit;241;No Contract (Single);0;0
94;NF Hotel;0;109;27;2018-03-16;2018-07-03;3;0;1;2;0;0;BB;Unknown;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;2
95;NF Hotel;1;109;27;2018-03-16;2018-07-03;3;0;2;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;1
96;NF Hotel;1;72;27;2018-04-22;2018-07-03;3;0;2;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;1
97;NF Hotel;1;63;27;2018-05-01;2018-07-03;3;2;5;2;0;0;BB;Portugal;Online TA;0;0;F;0;No Deposit;242;No Contract (Single);0;1
98;NF Hotel;0;63;27;2018-05-01;2018-07-03;3;2;5;3;0;0;HB;Spain;Offline TA/TO;0;0;E;0;No Deposit;105;No Contract (Single);0;1
99;NF Hotel;0;101;27;2018-03-24;2018-07-03;3;2;5;2;1;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;No Contract (Single);1;2
100;NF Hotel;0;102;27;2018-03-23;2018-07-03;3;2;5;2;0;0;BB;Unknown;Direct;0;0;E;0;No Deposit;250;No Contract (Single);0;0
101;NF Hotel;0;4;27;2018-06-30;2018-07-04;4;2;1;2;0;0;BB;Spain;Direct;0;0;C;0;No Deposit;250;No Contract (Single);0;1
102;NF Hotel;0;98;27;2018-03-28;2018-07-04;4;2;1;2;0;0;BB;Unknown;Offline TA/TO;0;0;D;0;No Deposit;8;No Contract (Single);1;0
103;NF Hotel;0;92;27;2018-04-03;2018-07-04;4;2;4;1;2;0;BB;Unknown;Offline TA/TO;0;0;F;0;No Deposit;241;No Contract (Single);0;2
104;NF Hotel;0;95;27;2018-03-31;2018-07-04;4;2;4;2;0;0;BB;Portugal;Online TA;0;0;C;0;No Deposit;240;No Contract (Single);1;2
105;NF Hotel;0;102;27;2018-03-24;2018-07-04;4;2;5;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;1
106;NF Hotel;1;26;27;2018-06-08;2018-07-04;4;2;5;2;2;0;BB;Portugal;Online TA;0;0;H;0;No Deposit;240;No Contract (Single);0;0
107;NF Hotel;1;73;27;2018-04-22;2018-07-04;4;2;5;3;0;0;HB;Portugal;Direct;0;0;D;0;No Deposit;250;No Contract (Single);0;1
108;NF Hotel;1;102;27;2018-03-24;2018-07-04;4;2;5;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;1
109;NF Hotel;0;115;27;2018-03-11;2018-07-04;4;2;5;2;0;0;BB;Portugal;Offline TA/TO;0;0;A;0;No Deposit;134;No Contract (Single);0;1
110;NF Hotel;0;102;27;2018-03-24;2018-07-04;4;2;5;2;0;1;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;2
111;NF Hotel;0;86;27;2018-04-09;2018-07-04;4;2;5;2;0;0;BB;Switzerland;Online TA;0;0;D;0;No Deposit;240;No Contract (Single);0;2
112;NF Hotel;0;78;27;2018-04-17;2018-07-04;4;2;5;2;0;1;HB;Portugal;Online TA;0;0;F;0;No Deposit;240;No Contract (Single);0;2
113;NF Hotel;0;52;27;2018-05-13;2018-07-04;4;2;5;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Online TA;0;0;A;0;No Deposit;147;No Contract (Single);0;0
114;NF Hotel;0;29;27;2018-06-05;2018-07-04;4;2;6;3;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;241;No Contract (Single);0;1
115;NF Hotel;1;101;27;2018-03-25;2018-07-04;4;2;6;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;1
116;NF Hotel;0;109;27;2018-03-17;2018-07-04;4;2;6;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;1
117;NF Hotel;0;92;27;2018-04-03;2018-07-04;4;4;6;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;D;0;No Deposit;40;Contract (Single);0;1
118;NF Hotel;0;92;27;2018-04-03;2018-07-04;4;4;6;2;0;0;BB;Portugal;Offline TA/TO;0;0;D;0;No Deposit;40;Contract (Single);0;1
119;NF Hotel;0;79;27;2018-04-16;2018-07-04;4;4;6;2;1;0;HB;Portugal;Direct;0;0;D;1;No Deposit;250;No Contract (Single);0;1
120;NF Hotel;0;2;27;2018-07-02;2018-07-04;4;0;1;2;2;0;BB;Portugal;Online TA;0;0;G;1;No Deposit;240;No Contract (Single);1;0
121;NF Hotel;0;30;27;2018-06-04;2018-07-04;4;0;1;2;0;0;BB;Portugal;Offline TA/TO;0;0;C;0;No Deposit;8;Contract (Single);0;0
122;NF Hotel;1;51;27;2018-05-14;2018-07-04;4;0;1;1;0;0;HB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;0
123;NF Hotel;1;36;27;2018-05-29;2018-07-04;4;0;1;1;0;0;BB;Portugal;Direct;0;0;G;1;No Deposit;250;No Contract (Single);0;0
124;NF Hotel;1;73;27;2018-04-22;2018-07-04;4;0;1;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;2
125;NF Hotel;1;33;27;2018-06-01;2018-07-04;4;0;1;2;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;No Contract (Single);0;0
126;NF Hotel;0;32;27;2018-06-02;2018-07-04;4;0;1;4;0;0;FB;Portugal;Complementary;0;0;H;2;No Deposit;0;No Contract (Single);0;1
127;NF Hotel;0;8;27;2018-06-26;2018-07-04;4;0;1;2;0;0;BB;Spain;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;0
128;NF Hotel;0;100;27;2018-03-26;2018-07-04;4;1;1;2;0;0;BB;Unknown;Online TA;0;0;C;0;No Deposit;240;No Contract (Group);1;1
129;NF Hotel;0;1;27;2018-07-03;2018-07-04;4;1;1;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;0
130;NF Hotel;0;100;27;2018-03-26;2018-07-04;4;1;1;2;0;0;BB;Unknown;Online TA;0;0;A;0;No Deposit;240;No Contract (Group);0;2
131;NF Hotel;0;100;27;2018-03-26;2018-07-04;4;1;1;2;0;0;BB;Unknown;Online TA;0;0;C;0;No Deposit;240;No Contract (Group);0;1
132;NF Hotel;0;9;28;2018-06-26;2018-07-05;5;1;0;2;0;0;BB;Spain;Online TA;0;0;C;0;No Deposit;240;No Contract (Single);0;1
133;NF Hotel;1;5;28;2018-06-30;2018-07-05;5;1;0;2;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;No Contract (Single);0;0
134;NF Hotel;0;0;28;2018-07-05;2018-07-05;5;1;0;2;0;0;BB;Spain;Online TA;0;0;C;1;No Deposit;306;No Contract (Single);0;0
135;NF Hotel;0;9;28;2018-06-26;2018-07-05;5;1;0;1;0;0;BB;Unknown;Online TA;0;0;A;0;No Deposit;184;No Contract (Single);0;0
136;NF Hotel;0;2;28;2018-07-03;2018-07-05;5;1;0;1;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;No Contract (Single);0;0
137;NF Hotel;0;2;28;2018-07-03;2018-07-05;5;1;0;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;0
138;NF Hotel;0;9;28;2018-06-26;2018-07-05;5;1;0;1;0;0;BB;Unknown;Online TA;0;0;A;0;No Deposit;184;No Contract (Single);1;0
139;NF Hotel;1;5;28;2018-06-30;2018-07-05;5;1;0;2;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;No Contract (Single);0;0
140;NF Hotel;0;2;28;2018-07-03;2018-07-05;5;1;0;2;0;0;BB;Portugal;Direct;0;0;G;0;No Deposit;0;No Contract (Single);0;1
141;NF Hotel;0;44;28;2018-05-22;2018-07-05;5;2;0;3;0;0;HB;Portugal;Online TA;0;0;G;3;No Deposit;240;No Contract (Single);2;0
142;NF Hotel;0;80;28;2018-04-16;2018-07-05;5;2;0;2;0;0;BB;Unknown;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);1;0
143;NF Hotel;0;97;28;2018-03-30;2018-07-05;5;2;2;2;0;0;BB;Spain;Online TA;0;0;D;0;No Deposit;240;No Contract (Single);0;2
144;NF Hotel;0;109;28;2018-03-18;2018-07-05;5;2;3;2;1;0;BB;Unknown;Offline TA/TO;0;0;D;0;No Deposit;241;No Contract (Single);1;2
145;NF Hotel;0;30;28;2018-06-05;2018-07-05;5;2;3;2;0;0;BB;Spain;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;0
146;NF Hotel;0;64;28;2018-05-02;2018-07-05;5;2;3;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;No Contract (Single);0;0
147;NF Hotel;0;39;28;2018-05-27;2018-07-05;5;2;4;2;0;0;BB;Spain;Online TA;0;0;H;0;No Deposit;240;No Contract (Single);0;0
148;NF Hotel;0;90;28;2018-04-06;2018-07-05;5;2;4;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;0
149;NF Hotel;1;34;28;2018-06-01;2018-07-05;5;2;4;2;2;0;BB;Portugal;Online TA;0;0;H;0;No Deposit;240;No Contract (Single);0;0
150;NF Hotel;1;93;28;2018-04-03;2018-07-05;5;2;5;2;0;0;HB;Portugal;Offline TA/TO;0;0;D;0;No Deposit;15;No Contract (Single);0;0
151;NF Hotel;0;97;28;2018-03-30;2018-07-05;5;2;5;2;2;0;HB;Portugal;Direct;0;0;C;1;No Deposit;250;No Contract (Single);1;1
152;NF Hotel;0;29;28;2018-06-06;2018-07-05;5;2;5;2;0;0;BB;Unknown;Online TA;0;0;F;0;No Deposit;241;No Contract (Single);0;1
153;NF Hotel;1;101;28;2018-03-26;2018-07-05;5;2;5;2;0;0;HB;Portugal;Online TA;0;0;A;0;No Deposit;240;No Contract (Single);0;1
154;NF Hotel;0;27;28;2018-06-08;2018-07-05;5;2;5;2;0;0;BB;Spain;Offline TA/TO;0;0;E;0;No Deposit;175;No Contract (Single);0;0
155;NF Hotel;0;8;28;2018-06-27;2018-07-05;5;4;5;2;2;0;BB;Switzerland;Online TA;0;0;H;1;No Deposit;240;No Contract (Single);1;1
156;NF Hotel;0;82;28;2018-04-14;2018-07-05;5;4;6;2;0;0;BB;Portugal;Offline TA/TO;0;0;D;0;No Deposit;5;No Contract (Single);1;2
157;NF Hotel;0;94;28;2018-04-02;2018-07-05;5;4;6;3;0;0;BB;Portugal;Direct;0;0;C;3;No Deposit;0;No Contract (Single);1;1
158;NF Hotel;0;110;28;2018-03-17;2018-07-05;5;4;7;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;D;0;No Deposit;40;Contract (Single);0;0
159;NF Hotel;0;96;28;2018-03-31;2018-07-05;5;4;10;1;0;0;HB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;A;0;No Deposit;40;Contract (Single);0;0
160;NF Hotel;0;79;28;2018-04-17;2018-07-05;5;4;10;2;0;0;HB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;D;0;No Deposit;243;Contract (Single);0;0
161;NF Hotel;0;115;28;2018-03-13;2018-07-06;6;1;4;2;2;0;BB;Portugal;Online TA;0;0;G;1;No Deposit;240;No Contract (Single);0;0
