booking_id;hotel;is_canceled;lead_time;arrival_date_week_number;booking_date;arrival_date;arrival_date_day_of_month;stays_in_weekend_nights;stays_in_week_nights;adults;children;babies;meal;country;market_segment;is_repeated_guest;previous_cancellations;assigned_room_type;booking_changes;deposit_type;agent;company;customer_type;required_car_parking_spaces;total_of_special_requests
13;Resort Hotel;0;68;27;24-04-2018;01-07-2018;1;0;4;2;0;0;BB;United States of America (the);Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;3
14;Resort Hotel;0;18;27;13-06-2018;01-07-2018;1;0;4;2;1;0;HB;Spain;Online TA;0;0;G;1;No Deposit;241;NULL;No Contract (Single);0;1
15;Resort Hotel;0;37;27;25-05-2018;01-07-2018;1;0;4;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;241;NULL;No Contract (Single);0;0
16;Resort Hotel;0;68;27;24-04-2018;01-07-2018;1;0;4;2;0;0;BB;Ireland;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;3
17;Resort Hotel;0;37;27;25-05-2018;01-07-2018;1;0;4;2;0;0;BB;Portugal;Offline TA/TO;0;0;E;0;No Deposit;8;NULL;Contract (Single);0;0
18;Resort Hotel;0;12;27;19-06-2018;01-07-2018;1;0;1;2;0;0;BB;Ireland;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;0
19;Resort Hotel;0;0;27;01-07-2018;01-07-2018;1;0;1;2;0;0;BB;France;Corporate;0;0;G;0;No Deposit;NULL;110;No Contract (Single);0;0
20;Resort Hotel;0;7;27;24-06-2018;01-07-2018;1;0;4;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Direct;0;0;G;0;No Deposit;250;NULL;No Contract (Single);0;1
21;Resort Hotel;0;37;27;25-05-2018;01-07-2018;1;1;4;1;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Online TA;0;0;F;0;No Deposit;241;NULL;No Contract (Single);0;1
22;Resort Hotel;0;72;27;20-04-2018;01-07-2018;1;2;4;2;0;0;BB;Portugal;Direct;0;0;A;1;No Deposit;250;NULL;No Contract (Single);0;1
23;Resort Hotel;0;72;27;20-04-2018;01-07-2018;1;2;4;2;0;0;BB;Portugal;Direct;0;0;A;1;No Deposit;250;NULL;No Contract (Single);0;1
24;Resort Hotel;0;72;27;20-04-2018;01-07-2018;1;2;4;2;0;0;BB;Portugal;Direct;0;0;D;1;No Deposit;250;NULL;No Contract (Single);0;1
25;Resort Hotel;0;127;27;24-02-2018;01-07-2018;1;2;5;2;0;0;HB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;I;0;No Deposit;115;NULL;Contract (Single);0;1
26;Resort Hotel;0;78;27;14-04-2018;01-07-2018;1;2;5;2;0;0;BB;Portugal;Offline TA/TO;0;0;D;0;No Deposit;5;NULL;No Contract (Single);1;0
27;Resort Hotel;0;48;27;14-05-2018;01-07-2018;1;2;5;2;0;0;BB;Ireland;Offline TA/TO;0;0;D;0;No Deposit;8;NULL;Contract (Single);0;0
28;Resort Hotel;1;60;27;02-05-2018;01-07-2018;1;2;5;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;2
29;Resort Hotel;0;77;27;15-04-2018;01-07-2018;1;2;5;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;0
30;Resort Hotel;0;99;27;24-03-2018;01-07-2018;1;2;5;2;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;NULL;No Contract (Single);1;1
31;Resort Hotel;0;118;27;05-03-2018;01-07-2018;1;4;10;1;0;0;BB;#I/T;Direct;0;0;A;2;No Deposit;NULL;NULL;No Contract (Single);0;2
32;Resort Hotel;0;95;27;28-03-2018;01-07-2018;1;4;11;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;D;0;No Deposit;241;NULL;No Contract (Single);0;0
33;Resort Hotel;1;96;27;27-03-2018;01-07-2018;1;2;8;2;0;0;BB;Portugal;Direct;0;0;E;0;No Deposit;NULL;NULL;No Contract (Single);0;2
34;Resort Hotel;0;69;27;24-04-2018;02-07-2018;2;2;4;2;0;0;BB;Ireland;Offline TA/TO;0;0;C;0;No Deposit;175;NULL;No Contract (Single);0;0
35;Resort Hotel;1;45;27;18-05-2018;02-07-2018;2;1;3;3;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;241;NULL;No Contract (Single);0;1
36;Resort Hotel;1;40;27;23-05-2018;02-07-2018;2;1;3;3;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;241;NULL;No Contract (Single);0;1
37;Resort Hotel;0;15;27;17-06-2018;02-07-2018;2;1;3;2;0;0;BB;Spain;Online TA;0;0;C;0;No Deposit;240;NULL;No Contract (Single);0;0
38;Resort Hotel;0;36;27;27-05-2018;02-07-2018;2;1;3;3;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;241;NULL;No Contract (Single);0;1
39;Resort Hotel;1;43;27;20-05-2018;02-07-2018;2;1;3;3;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;241;NULL;No Contract (Single);0;0
40;Resort Hotel;0;70;27;23-04-2018;02-07-2018;2;2;3;2;0;0;HB;Romania;Direct;0;0;E;0;No Deposit;250;NULL;No Contract (Single);0;1
41;Resort Hotel;1;45;27;18-05-2018;02-07-2018;2;2;3;2;0;0;BB;Portugal;Online TA;0;0;G;0;No Deposit;241;NULL;No Contract (Single);0;0
42;Resort Hotel;0;45;27;18-05-2018;02-07-2018;2;2;3;2;0;0;BB;Ireland;Offline TA/TO;0;0;D;0;No Deposit;8;NULL;Contract (Single);0;0
43;Resort Hotel;0;16;27;16-06-2018;02-07-2018;2;2;3;2;0;0;BB;Spain;Direct;0;0;F;0;No Deposit;NULL;NULL;No Contract (Single);0;0
44;Resort Hotel;0;70;27;23-04-2018;02-07-2018;2;2;3;2;0;0;HB;Romania;Direct;0;0;E;0;No Deposit;250;NULL;No Contract (Single);0;1
45;Resort Hotel;0;107;27;17-03-2018;02-07-2018;2;2;5;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;2
46;Resort Hotel;1;47;27;16-05-2018;02-07-2018;2;2;5;2;2;0;BB;Portugal;Online TA;0;0;G;0;No Deposit;240;NULL;No Contract (Single);0;0
47;Resort Hotel;0;96;27;28-03-2018;02-07-2018;2;2;5;2;0;0;BB;Spain;Offline TA/TO;0;0;A;0;No Deposit;134;NULL;No Contract (Single);0;1
48;Resort Hotel;0;113;27;11-03-2018;02-07-2018;2;2;5;2;0;0;BB;Norway;Offline TA/TO;0;0;E;0;No Deposit;156;NULL;No Contract (Group);0;2
49;Resort Hotel;0;90;27;03-04-2018;02-07-2018;2;2;5;2;0;0;HB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;B;1;No Deposit;243;NULL;Contract (Single);0;0
50;Resort Hotel;0;50;27;13-05-2018;02-07-2018;2;2;5;2;0;0;HB;Ireland;Online TA;0;0;F;1;No Deposit;241;NULL;No Contract (Single);0;1
51;Resort Hotel;0;113;27;11-03-2018;02-07-2018;2;2;5;2;0;0;BB;Norway;Offline TA/TO;0;0;D;0;No Deposit;156;NULL;No Contract (Group);0;2
52;Resort Hotel;0;93;27;31-03-2018;02-07-2018;2;3;8;2;0;0;BB;Ireland;Offline TA/TO;0;0;A;0;No Deposit;156;NULL;Contract (Single);0;0
53;Resort Hotel;0;76;27;17-04-2018;02-07-2018;2;4;10;2;0;0;BB;Oman;Offline TA/TO;0;0;D;0;No Deposit;243;NULL;Contract (Single);0;0
54;Resort Hotel;0;3;27;29-06-2018;02-07-2018;2;0;1;2;0;0;BB;Spain;Online TA;0;0;C;0;No Deposit;240;NULL;No Contract (Single);1;0
55;Resort Hotel;0;1;27;01-07-2018;02-07-2018;2;0;1;2;0;0;BB;#I/T;Online TA;0;0;H;0;No Deposit;240;NULL;No Contract (Single);1;0
56;Resort Hotel;0;1;27;01-07-2018;02-07-2018;2;0;1;2;2;0;BB;Spain;Direct;0;0;C;0;No Deposit;NULL;NULL;No Contract (Single);1;2
57;Resort Hotel;0;0;27;02-07-2018;02-07-2018;2;0;1;2;0;0;BB;Portugal;Direct;0;0;H;0;No Deposit;NULL;NULL;No Contract (Single);0;0
58;Resort Hotel;0;0;27;02-07-2018;02-07-2018;2;0;1;2;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;NULL;No Contract (Single);0;2
59;Resort Hotel;0;0;27;02-07-2018;02-07-2018;2;0;1;2;0;0;BB;Portugal;Direct;0;0;G;0;No Deposit;NULL;NULL;No Contract (Single);0;0
60;Resort Hotel;0;14;27;18-06-2018;02-07-2018;2;0;2;2;0;0;BB;United States of America (the);Online TA;0;0;C;0;No Deposit;242;NULL;No Contract (Single);0;1
61;Resort Hotel;0;10;27;22-06-2018;02-07-2018;2;0;2;2;0;0;BB;Portugal;Online TA;0;0;G;0;No Deposit;241;NULL;No Contract (Single);0;0
62;Resort Hotel;0;5;27;27-06-2018;02-07-2018;2;0;2;2;0;0;BB;Ireland;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);1;2
63;Resort Hotel;0;17;27;15-06-2018;02-07-2018;2;0;3;2;0;0;BB;Spain;Direct;0;0;F;0;No Deposit;250;NULL;No Contract (Single);0;1
64;Resort Hotel;0;93;27;31-03-2018;02-07-2018;2;0;3;2;0;0;BB;Ireland;Offline TA/TO;0;0;C;0;No Deposit;115;NULL;Contract (Single);0;0
65;Resort Hotel;1;3;27;29-06-2018;02-07-2018;2;0;3;2;0;0;HB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;2
66;Resort Hotel;0;10;27;23-06-2018;03-07-2018;3;0;2;2;2;0;BB;United States of America (the);Online TA;0;0;H;0;No Deposit;240;NULL;No Contract (Single);1;0
67;Resort Hotel;0;3;27;30-06-2018;03-07-2018;3;0;2;2;0;0;BB;Spain;Online TA;0;0;C;0;No Deposit;240;NULL;No Contract (Single);0;0
68;Resort Hotel;0;51;27;13-05-2018;03-07-2018;3;0;2;2;0;0;BB;Poland;Online TA;0;0;D;0;No Deposit;242;NULL;No Contract (Single);0;0
69;Resort Hotel;1;71;27;23-04-2018;03-07-2018;3;0;2;3;0;0;BB;Portugal;Offline TA/TO;0;0;A;0;No Deposit;242;NULL;No Contract (Single);0;2
70;Resort Hotel;1;63;27;01-05-2018;03-07-2018;3;0;2;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;2
71;Resort Hotel;1;62;27;02-05-2018;03-07-2018;3;0;2;2;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;NULL;No Contract (Single);0;1
72;Resort Hotel;1;101;27;24-03-2018;03-07-2018;3;0;2;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;1
73;Resort Hotel;0;2;27;01-07-2018;03-07-2018;3;0;2;2;0;0;HB;Portugal;Offline TA/TO;0;0;A;0;No Deposit;3;NULL;No Contract (Single);0;0
74;Resort Hotel;0;15;27;18-06-2018;03-07-2018;3;0;2;2;0;0;BB;Spain;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;0
75;Resort Hotel;1;51;27;13-05-2018;03-07-2018;3;0;2;3;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;242;NULL;No Contract (Single);0;0
76;Resort Hotel;0;3;27;30-06-2018;03-07-2018;3;1;2;2;0;0;BB;Spain;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);1;0
77;Resort Hotel;1;48;27;16-05-2018;03-07-2018;3;1;2;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;0
78;Resort Hotel;0;2;27;01-07-2018;03-07-2018;3;2;2;1;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;0
79;Resort Hotel;0;72;27;22-04-2018;03-07-2018;3;2;2;2;0;0;BB;Germany;Offline TA/TO;0;0;A;0;No Deposit;105;NULL;No Contract (Single);1;0
80;Resort Hotel;0;81;27;13-04-2018;03-07-2018;3;2;6;3;0;0;BB;Portugal;Offline TA/TO;0;0;D;0;No Deposit;5;NULL;No Contract (Single);0;0
81;Resort Hotel;0;99;27;26-03-2018;03-07-2018;3;2;7;2;0;0;BB;#I/T;Offline TA/TO;0;0;A;0;No Deposit;40;NULL;Contract (Single);0;0
82;Resort Hotel;1;368;27;30-06-2017;03-07-2018;3;3;7;2;0;0;BB;Portugal;Offline TA/TO;0;0;A;0;No Deposit;40;NULL;Contract (Single);0;0
83;Resort Hotel;0;364;27;04-07-2017;03-07-2018;3;3;7;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;A;0;No Deposit;40;NULL;Contract (Single);0;0
84;Resort Hotel;1;81;27;13-04-2018;03-07-2018;3;3;7;2;0;0;HB;Portugal;Direct;0;0;A;2;No Deposit;250;NULL;No Contract (Single);0;1
85;Resort Hotel;0;99;27;26-03-2018;03-07-2018;3;3;7;2;0;0;HB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;E;0;No Deposit;115;NULL;Contract (Single);0;0
86;Resort Hotel;0;324;27;13-08-2017;03-07-2018;3;4;10;2;0;0;HB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;E;0;No Deposit;40;NULL;Contract (Single);0;0
87;Resort Hotel;0;69;27;25-04-2018;03-07-2018;3;4;10;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Online TA;0;0;F;1;No Deposit;241;NULL;No Contract (Single);0;1
88;Resort Hotel;1;79;27;15-04-2018;03-07-2018;3;6;15;2;1;0;BB;Portugal;Offline TA/TO;0;0;A;0;No Deposit;242;NULL;No Contract (Single);0;2
89;Resort Hotel;0;12;27;21-06-2018;03-07-2018;3;0;1;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Online TA;0;0;C;0;No Deposit;240;NULL;No Contract (Single);0;0
90;Resort Hotel;0;9;27;24-06-2018;03-07-2018;3;0;1;2;0;0;BB;Portugal;Online TA;0;0;C;0;No Deposit;240;NULL;No Contract (Single);1;2
91;Resort Hotel;0;1;27;02-07-2018;03-07-2018;3;0;1;2;0;0;BB;Spain;Online TA;0;0;C;0;No Deposit;240;NULL;No Contract (Single);0;1
92;Resort Hotel;0;21;27;12-06-2018;03-07-2018;3;0;1;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;0
93;Resort Hotel;0;9;27;24-06-2018;03-07-2018;3;0;1;2;0;0;BB;United States of America (the);Online TA;0;0;C;0;No Deposit;241;NULL;No Contract (Single);0;0
94;Resort Hotel;0;109;27;16-03-2018;03-07-2018;3;0;1;2;0;0;BB;#I/T;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;2
95;Resort Hotel;1;109;27;16-03-2018;03-07-2018;3;0;2;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;1
96;Resort Hotel;1;72;27;22-04-2018;03-07-2018;3;0;2;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;1
97;Resort Hotel;1;63;27;01-05-2018;03-07-2018;3;2;5;2;0;0;BB;Portugal;Online TA;0;0;F;0;No Deposit;242;NULL;No Contract (Single);0;1
98;Resort Hotel;0;63;27;01-05-2018;03-07-2018;3;2;5;3;0;0;HB;Spain;Offline TA/TO;0;0;E;0;No Deposit;105;NULL;No Contract (Single);0;1
99;Resort Hotel;0;101;27;24-03-2018;03-07-2018;3;2;5;2;1;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;NULL;No Contract (Single);1;2
100;Resort Hotel;0;102;27;23-03-2018;03-07-2018;3;2;5;2;0;0;BB;#I/T;Direct;0;0;E;0;No Deposit;250;NULL;No Contract (Single);0;0
101;Resort Hotel;0;4;27;30-06-2018;04-07-2018;4;2;1;2;0;0;BB;Spain;Direct;0;0;C;0;No Deposit;250;NULL;No Contract (Single);0;1
102;Resort Hotel;0;98;27;28-03-2018;04-07-2018;4;2;1;2;0;0;BB;#I/T;Offline TA/TO;0;0;D;0;No Deposit;8;NULL;No Contract (Single);1;0
103;Resort Hotel;0;92;27;03-04-2018;04-07-2018;4;2;4;1;2;0;BB;#I/T;Offline TA/TO;0;0;F;0;No Deposit;241;NULL;No Contract (Single);0;2
104;Resort Hotel;0;95;27;31-03-2018;04-07-2018;4;2;4;2;0;0;BB;Portugal;Online TA;0;0;C;0;No Deposit;240;NULL;No Contract (Single);1;2
105;Resort Hotel;0;102;27;24-03-2018;04-07-2018;4;2;5;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;1
106;Resort Hotel;1;26;27;08-06-2018;04-07-2018;4;2;5;2;2;0;BB;Portugal;Online TA;0;0;H;0;No Deposit;240;NULL;No Contract (Single);0;0
107;Resort Hotel;1;73;27;22-04-2018;04-07-2018;4;2;5;3;0;0;HB;Portugal;Direct;0;0;D;0;No Deposit;250;NULL;No Contract (Single);0;1
108;Resort Hotel;1;102;27;24-03-2018;04-07-2018;4;2;5;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;1
109;Resort Hotel;0;115;27;11-03-2018;04-07-2018;4;2;5;2;0;0;BB;Portugal;Offline TA/TO;0;0;A;0;No Deposit;134;NULL;No Contract (Single);0;1
110;Resort Hotel;0;102;27;24-03-2018;04-07-2018;4;2;5;2;0;1;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;2
111;Resort Hotel;0;86;27;09-04-2018;04-07-2018;4;2;5;2;0;0;BB;Switzerland;Online TA;0;0;D;0;No Deposit;240;NULL;No Contract (Single);0;2
112;Resort Hotel;0;78;27;17-04-2018;04-07-2018;4;2;5;2;0;1;HB;Portugal;Online TA;0;0;F;0;No Deposit;240;NULL;No Contract (Single);0;2
113;Resort Hotel;0;52;27;13-05-2018;04-07-2018;4;2;5;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Online TA;0;0;A;0;No Deposit;147;NULL;No Contract (Single);0;0
114;Resort Hotel;0;29;27;05-06-2018;04-07-2018;4;2;6;3;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;241;NULL;No Contract (Single);0;1
115;Resort Hotel;1;101;27;25-03-2018;04-07-2018;4;2;6;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;1
116;Resort Hotel;0;109;27;17-03-2018;04-07-2018;4;2;6;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;1
117;Resort Hotel;0;92;27;03-04-2018;04-07-2018;4;4;6;2;0;0;BB;United Kingdom of Great Britain and Northern Ireland (the);Offline TA/TO;0;0;D;0;No Deposit;40;NULL;Contract (Single);0;1
118;Resort Hotel;0;92;27;03-04-2018;04-07-2018;4;4;6;2;0;0;BB;Portugal;Offline TA/TO;0;0;D;0;No Deposit;40;NULL;Contract (Single);0;1
119;Resort Hotel;0;79;27;16-04-2018;04-07-2018;4;4;6;2;1;0;HB;Portugal;Direct;0;0;D;1;No Deposit;250;NULL;No Contract (Single);0;1
120;Resort Hotel;0;2;27;02-07-2018;04-07-2018;4;0;1;2;2;0;BB;Portugal;Online TA;0;0;G;1;No Deposit;240;NULL;No Contract (Single);1;0
121;Resort Hotel;0;30;27;04-06-2018;04-07-2018;4;0;1;2;0;0;BB;Portugal;Offline TA/TO;0;0;C;0;No Deposit;8;NULL;Contract (Single);0;0
122;Resort Hotel;1;51;27;14-05-2018;04-07-2018;4;0;1;1;0;0;HB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;0
123;Resort Hotel;1;36;27;29-05-2018;04-07-2018;4;0;1;1;0;0;BB;Portugal;Direct;0;0;G;1;No Deposit;250;NULL;No Contract (Single);0;0
124;Resort Hotel;1;73;27;22-04-2018;04-07-2018;4;0;1;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;2
125;Resort Hotel;1;33;27;01-06-2018;04-07-2018;4;0;1;2;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;NULL;No Contract (Single);0;0
126;Resort Hotel;0;32;27;02-06-2018;04-07-2018;4;0;1;4;0;0;FB;Portugal;Complementary;0;0;H;2;No Deposit;NULL;NULL;No Contract (Single);0;1
127;Resort Hotel;0;8;27;26-06-2018;04-07-2018;4;0;1;2;0;0;BB;Spain;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;0
128;Resort Hotel;0;100;27;26-03-2018;04-07-2018;4;1;1;2;0;0;BB;#I/T;Online TA;0;0;C;0;No Deposit;240;NULL;No Contract (Group);1;1
129;Resort Hotel;0;1;27;03-07-2018;04-07-2018;4;1;1;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;0
130;Resort Hotel;0;100;27;26-03-2018;04-07-2018;4;1;1;2;0;0;BB;#I/T;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Group);0;2
131;Resort Hotel;0;100;27;26-03-2018;04-07-2018;4;1;1;2;0;0;BB;#I/T;Online TA;0;0;C;0;No Deposit;240;NULL;No Contract (Group);0;1
132;Resort Hotel;0;9;28;26-06-2018;05-07-2018;5;1;0;2;0;0;BB;Spain;Online TA;0;0;C;0;No Deposit;240;NULL;No Contract (Single);0;1
133;Resort Hotel;1;5;28;30-06-2018;05-07-2018;5;1;0;2;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;NULL;No Contract (Single);0;0
134;Resort Hotel;0;0;28;05-07-2018;05-07-2018;5;1;0;2;0;0;BB;Spain;Online TA;0;0;C;1;No Deposit;306;NULL;No Contract (Single);0;0
135;Resort Hotel;0;9;28;26-06-2018;05-07-2018;5;1;0;1;0;0;BB;#I/T;Online TA;0;0;A;0;No Deposit;184;NULL;No Contract (Single);0;0
136;Resort Hotel;0;2;28;03-07-2018;05-07-2018;5;1;0;1;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;NULL;No Contract (Single);0;0
137;Resort Hotel;0;2;28;03-07-2018;05-07-2018;5;1;0;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;0
138;Resort Hotel;0;9;28;26-06-2018;05-07-2018;5;1;0;1;0;0;BB;#I/T;Online TA;0;0;A;0;No Deposit;184;NULL;No Contract (Single);1;0
139;Resort Hotel;1;5;28;30-06-2018;05-07-2018;5;1;0;2;0;0;BB;Portugal;Online TA;0;0;D;0;No Deposit;240;NULL;No Contract (Single);0;0
140;Resort Hotel;0;2;28;03-07-2018;05-07-2018;5;1;0;2;0;0;BB;Portugal;Direct;0;0;G;0;No Deposit;NULL;NULL;No Contract (Single);0;1
141;Resort Hotel;0;44;28;22-05-2018;05-07-2018;5;2;0;3;0;0;HB;Portugal;Online TA;0;0;G;3;No Deposit;240;NULL;No Contract (Single);2;0
142;Resort Hotel;0;80;28;16-04-2018;05-07-2018;5;2;0;2;0;0;BB;#I/T;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);1;0
143;Resort Hotel;0;97;28;30-03-2018;05-07-2018;5;2;2;2;0;0;BB;Spain;Online TA;0;0;D;0;No Deposit;240;NULL;No Contract (Single);0;2
144;Resort Hotel;0;109;28;18-03-2018;05-07-2018;5;2;3;2;1;0;BB;#I/T;Offline TA/TO;0;0;D;0;No Deposit;241;NULL;No Contract (Single);1;2
145;Resort Hotel;0;30;28;05-06-2018;05-07-2018;5;2;3;2;0;0;BB;Spain;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;0
146;Resort Hotel;0;64;28;02-05-2018;05-07-2018;5;2;3;2;0;0;BB;Portugal;Online TA;0;0;E;0;No Deposit;240;NULL;No Contract (Single);0;0
147;Resort Hotel;0;39;28;27-05-2018;05-07-2018;5;2;4;2;0;0;BB;Spain;Online TA;0;0;H;0;No Deposit;240;NULL;No Contract (Single);0;0
148;Resort Hotel;0;90;28;06-04-2018;05-07-2018;5;2;4;2;0;0;BB;Portugal;Online TA;0;0;A;0;No Deposit;240;NULL;No Contract (Single);0;0
149;Resort Hotel;1;34;28;01-06-2018;05-07-2018;5;2;4;2;2;0;BB;Portugal;Online TA;0;0;H;0;No Deposit;240;NULL;No Contract (Single);0;0
150;Resort Hotel;1;93;28;03-04-2018;05-07-2018;5;2;5;2;0;0;HB;Portugal;Offline TA/TO;0;0;D;0;No Deposit;15;NULL;No Contract (Single);0;0
151;Resort Hotel;0;97;28;30-03-2018;05-07-2018;5;2;5;2;2;0;HB;Portugal;Direct;0;0;C;1;No Deposit;250;NULL;No Contract (Single);1;1
152;Resort Hotel;0;29;28;06-06-2018;05-07-2018;5;2;5;2;0;0;BB;#I/T;Online TA;0;0;F;0;No Deposit;241;NULL;No Contract (Single);0;1
